COMUNA,CANTIDAD TOTAL DE RETIRADOS,Superficie km2,poblacion 2020,tasa de pobreza por ingresos %,Personas en hogares carentes de servicios básico %,Hogares hacinados %,cantidad de establecimientos municipales,cantidad de establecimientos particular subvencionado,cantidad de establecimientos particular pagado,cantidad de matriculas totales,Ingresos Educación (M$),Aporte Municipal al Sector Educación (M$),Gastos Educación (M$),tasa de denuncias por delito de mayon connotacion social,tasa de denuncias por violencia intrafamiliar
SANTIAGO,2123,22,503147,04.08,0.19,18.50,44,66,17,81529,68086543,8810430,68467876,21169.70,1283.00
RECOLETA,713,16,190075,6.89,13.1,19.1,19,43,2,31426,23125862,2767600,23880193,7335.60,859.90
INDEPENDENCIA,402,7,142065,8.50,6,20,9,25,3,20149,11430455,162370,10658897,8697.20,1520.30
QUINTA NORMAL,58,13,136368,3.73,9.1,18.20,2,49,0,17584,21182891,1671736,20633866,6280.40,1107.30
MAIPÚ,11,135.5,578605,2.57,2.90,11.30,0,163,13,81309,44285876,3900000,44979840,868.70,197.40
ESTACIÓN CENTRAL,432,15,206792,5.81,14.70,17.1,15,40,3,25562,19921456,3913500,20474710,8510.80,821.20
CERRILLOS,31,21,88956,6.48,6,15.80,9,24,1,12914,8247485,892025,8213170,5336.80,973.60
QUILICURA,4,58,254694,5.68,2.70,15.80,12,46,3,44225,21117885,3500000,19690246,1775.40,406.70
EL BOSQUE,292,14.20,172000,9.58,5.50,17.30,21,71,1,38293,18899970,177500,18743472,2539.90,516.20
LA CISTERNA,119,10,100434,6.60,20.1,16.60,8,54,2,28318,6930984,195551,7251887,6186.60,630.00
LA FLORIDA,885,70.20,402433,4.50,4,15.80,0,147,16,66483,32886109,5717647,31563232,2693.80,474.10
LA GRANJA,281,10,122557,4.75,8.20,19.1,16,38,0,20910,13472253,346500,13929494,3119.70,637.90
LA PINTANA,265,30.60,189335,14.14,4.80,23.30,13,59,0,36163,14404373,1054293,15597872,1994.80,661.00
LA REINA,214,23,100252,0.99,5.60,12.40,0,15,21,18838,11285046,2209852,10922664,3084.10,389.80
LAS CONDES,322,99,330759,0.19,1.30,5.30,0,12,44,36448,21984167,10749110,21984167,2724.60,236.50
LO BARNECHEA,157,1024,124076,2.84,7.50,18.20,6,9,18,22494,8837181,4222782,7977522,1218.20,193.40
LO ESPEJO,181,7,103865,6.69,9.60,24.80,15,23,0,12446,12902004,1750000,14515456,3452.60,611.30
MACUL,300,12.90,134635,7.45,7.40,13.60,0,26,5,12558,10968716,870000,11904814,4226.10,709.20
ÑUÑOA,584,16.90,250192,0.90,6.20,7.60,0,27,30,23521,26333051,1651021,24502147,5899.60,614.30
PEDRO AGUIRRE CERDA,270,10,107803,6.21,9.80,18.1,15,33,0,16361,11550970,850000,12114241,3325.40,645.50
PEÑALOLÉN,531,54,266798,4.37,9.20,17.90,0,40,15,30248,22423126,1716933,25176362,2078.20,467.30
PROVIDENCIA,296,14.30,157749,0.43,2.70,5.50,0,12,31,20889,23348743,4565191,23162400,8652.60,321.80
SAN JOAQUÍN,267,9.70,103485,5.24,12.80,18.20,0,30,0,7022,8813611,350953,10092617,4264.70,732.40
SAN MIGUEL,394,10,133059,4.85,5.50,12.1,0,42,4,19478,9067408,1838042,8867165,7375.20,910.00
SAN RAMÓN,569,7,86510,4.60,8.20,21,12,25,0,14547,10586286,1104999,10912572,2773.10,629.50
VITACURA,134,28.30,96774,0.13,0.50,2.90,2,1,16,20437,7125426,2913000,6658703,4138.90,202.10